id	TCGA.BH.A0W3.01A.11R.A109.07
1	2.25922474062989
29974	-2.5503045782396
87769	1.96305766851048
2	7.87781382613465
144568	-0.476305904377438
53947	2.7865065516304
51146	-5.23578815122824
8086	5.48512882227234
65985	5.65812588968488
13	-1.94020547216727
344752	-5.20654079694065
126767	-5.60656229355744
343066	-5.39820221802032
51166	-1.40595444564884
79719	6.66206675028454
22848	6.48746879550287
14	7.03043038980054
15	-3.11217610675549
16	6.49705557094385
57505	4.3070284011766
80755	4.48193954873882
132949	3.67748665119161
60496	4.87791240944177
10157	3.45578129788423
26574	5.93598930224065
9625	6.28953918301144
18	6.81649751459023
19	3.52609756351242
10349	-1.07222861989977
79963	2.87900933726926
26154	2.29174475896368
154664	0.50550610654779
650655	-1.39035479815656
20	6.10382616907882
21	6.66623396994195
24	1.24028629832244
23461	3.92235613573273
23460	0.205157138826586
10347	5.95109034802304
10351	1.07560406277901
10350	-0.0311592869203243
5243	-0.163094025250007
23456	5.02443877749539
8647	-4.18336508444124
5244	0.236791991341369
340273	-0.583896797669175
10058	5.57622095834847
22	5.07689092722964
11194	5.49962971716617
23457	4.00698236614202
4363	6.77964130443746
89845	4.1341199848932
85320	1.69335691563255
94160	-2.01375554189077
150000	-3.62933497427708
1244	0.236367827571733
8714	5.8161278532939
10257	3.02689598122944
10057	8.04447799983902
368	2.66597599020671
653190	-0.927143366766276
730013	2.84244223861034
6833	1.78759153499836
10060	4.74442608000268
215	4.13679602466834
225	-2.73635670047199
5825	6.40618032076258
5826	4.82998902125923
6059	5.79443003847571
23	6.00416475983864
10061	5.71392245714491
55324	5.99248934463337
9619	4.45797643495423
9429	0.0714729752575234
64137	-3.48731284311832
64240	-4.19050561913185
64241	-3.91696559279027
84696	1.02857038507667
55347	4.72051481501525
83451	5.49430159592707
26090	7.31138394355065
145447	-0.329772236056431
84945	4.4258727193519
25864	3.63435826120398
84836	5.50333772477794
116236	4.43329140923266
11057	7.42252395552786
171586	6.21123675463817
63874	5.95598280088171
51099	5.05317149446385
57406	3.45329475152152
79575	4.31691289606697
10006	6.23551272327865
10152	5.75898522672752
51225	3.90164360915412
25890	3.30838834811487
25	6.6125109520301
27	5.62301638613072
3983	7.25939310599412
84448	2.44907494579199
22885	6.44338456621764
28	-1.08404673399447
26	4.1406275814946
29	6.96435790837647
137735	-3.91046135692237
29777	4.4223730029533
80325	4.82363849388824
25841	0.679264748291001
30	5.92058594780179
10449	3.59476220492241
31	6.53983949431823
32	3.78055375763826
80724	4.74231952047723
27034	3.81432186136781
28976	5.64691671028843
33	-4.35534891700268
34	5.60719161177845
35	4.99084106771967
36	6.13263001633919
37	8.12763643781468
